scheme_id,fiscal_year,revised_allocation_total,revised_allocation_fpa,estimated_expenditure,throw_forward,allocation_capital,allocation_revenue,allocation_total,allocation_fpa,financial_progress_pct_prior_year,financial_progress_pct_current_year
269,2026-2027,10.100,0.000,66.378,10.261,3.366,0.000,3.366,0.000,86.6,91.0
270,2026-2027,15.000,0.000,69.881,22.188,13.914,0.000,13.914,0.000,75.9,91.0
271,2026-2027,29.633,0.000,64.308,59.099,59.099,0.000,59.099,0.000,52.1,100.0
272,2026-2027,17.599,0.000,98.979,26.118,26.118,0.000,26.118,0.000,79.1,100.0
273,2026-2027,24.973,0.000,63.723,13.148,13.148,0.000,13.148,0.000,82.9,100.0
274,2026-2027,0.000,0.000,54.444,0.001,0.001,0.000,0.001,0.000,100.0,100.0
275,2026-2027,15.000,0.000,62.404,46.903,33.903,13.000,46.903,0.000,57.1,100.0
276,2026-2027,10.008,0.000,58.758,7.172,0.001,0.000,0.001,0.000,89.1,89.1
277,2026-2027,4.883,0.000,68.083,14.287,1.626,0.000,1.626,0.000,82.7,84.6
278,2026-2027,5.000,0.000,89.000,30.168,12.441,0.000,12.441,0.000,74.7,85.1
279,2026-2027,18.750,0.000,93.233,34.836,19.644,0.000,19.644,0.000,72.8,88.1
280,2026-2027,15.000,0.000,95.395,72.570,5.000,0.000,5.000,0.000,56.8,59.8
281,2026-2027,2598.837,25990.960,2930.591,543.252,0.000,543.252,543.252,8425.200,84.4,100.0
282,2026-2027,15.000,0.000,137.583,145.917,10.000,0.000,10.000,0.000,48.5,52.1
283,2026-2027,20.000,0.000,133.100,65.933,10.000,0.000,10.000,0.000,66.9,71.9
284,2026-2027,20.000,0.000,50.000,25.000,25.000,0.000,25.000,0.000,66.7,100.0
285,2026-2027,15.000,0.000,59.500,30.426,20.366,0.000,20.366,0.000,66.2,88.8
286,2026-2027,20.000,0.000,51.250,8.575,0.001,0.000,0.001,0.000,85.7,85.7
287,2026-2027,10.000,0.000,29.000,47.808,41.772,0.000,41.772,0.000,37.8,92.1
288,2026-2027,20.000,0.000,64.500,25.293,25.293,0.000,25.293,0.000,71.8,100.0
289,2026-2027,20.000,0.000,64.500,70.649,5.000,0.000,5.000,0.000,47.7,51.4
290,2026-2027,15.000,0.000,60.750,15.764,7.716,0.000,7.716,0.000,79.4,89.5
291,2026-2027,15.000,0.000,55.000,35.000,24.940,0.000,24.940,0.000,61.1,88.8
292,2026-2027,20.000,0.000,69.500,23.558,13.498,0.000,13.498,0.000,74.7,89.2
293,2026-2027,16.944,0.000,48.194,11.753,11.393,0.360,11.753,0.000,80.4,100.0
294,2026-2027,10.000,0.000,65.000,51.474,41.274,0.000,41.274,0.000,55.8,91.2
295,2026-2027,15.000,0.000,45.108,80.433,5.000,0.000,5.000,0.000,35.9,39.9
296,2026-2027,10.000,0.000,48.750,24.594,17.074,0.000,17.074,0.000,66.5,89.7
297,2026-2027,15.000,0.000,40.000,15.260,9.620,0.000,9.620,0.000,72.4,89.8
298,2026-2027,15.000,0.000,38.750,34.594,27.074,0.000,27.074,0.000,52.8,89.7
299,2026-2027,15.000,0.000,50.750,38.989,5.000,0.000,5.000,0.000,56.6,62.1
300,2026-2027,15.000,0.000,55.000,4.673,4.673,0.000,4.673,0.000,92.2,100.0
301,2026-2027,15.000,0.000,50.000,20.000,20.000,0.000,20.000,0.000,71.4,100.0
302,2026-2027,15.000,0.000,57.500,12.485,12.485,0.000,12.485,0.000,82.2,100.0
303,2026-2027,15.000,0.000,49.250,46.313,46.313,0.000,46.313,0.000,51.5,100.0
304,2026-2027,14.271,0.000,49.021,50.092,50.092,0.000,50.092,0.000,49.5,100.0
305,2026-2027,15.000,0.000,50.000,38.534,38.534,0.000,38.534,0.000,56.5,100.0
306,2026-2027,34.804,0.000,69.804,11.468,11.468,0.000,11.468,0.000,85.9,100.0
307,2026-2027,15.000,0.000,63.750,36.245,36.245,0.000,36.245,0.000,63.8,100.0
308,2026-2027,29.845,0.000,59.845,23.076,23.076,0.000,23.076,0.000,72.2,100.0
309,2026-2027,15.000,0.000,43.000,125.266,10.000,0.000,10.000,0.000,25.6,31.5
310,2026-2027,18.750,0.000,64.250,52.340,5.000,0.000,5.000,0.000,55.1,59.4
311,2026-2027,10.000,0.000,60.500,32.524,32.524,0.000,32.524,0.000,65.0,100.0
312,2026-2027,15.000,0.000,53.500,81.652,5.000,0.000,5.000,0.000,39.6,43.3
313,2026-2027,30.000,0.000,79.985,105.618,10.000,0.000,10.000,0.000,43.1,48.5
314,2026-2027,20.000,0.000,67.500,32.484,19.712,0.000,19.712,0.000,67.5,87.2
315,2026-2027,84.524,0.000,159.524,140.449,107.989,32.460,140.449,0.000,53.2,100.0
316,2026-2027,25.000,0.000,75.000,84.999,5.000,0.000,5.000,0.000,46.9,50.0
317,2026-2027,60.000,0.000,239.995,259.982,15.000,0.000,15.000,0.000,48.0,51.0
